,SITEID,YEAR,STATE,122,141,36,1,176,5,24,123,124,61,190,37,12,26,243,111,152,70,209,53,59,4,21,43,23,38,250,29,206,216,225,13,87,2,3,239,60,31,50,49,68,67,241,254,224,235,0,10,22,30,32,33,34,39,46,51,55,56,62,171,204,212,221,223,230,233,234,253
16,Nashua,2011,IA,51.3,0,0,0,30.2,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,6.6,0.5,0.1,0,0,0.5,0,0,0,8.5,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
17,Nashua,2012,IA,38.3,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,6.7,0.6,0.1,0,0,0.8,0,0,0,10.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Nashua,2013,IA,46.1,0,0,0,33.1,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,6.9,0.4,0,0,0,0.5,0,0,0,11.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Sutherland,2008,IA,46,0,0,0,35.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9,1.3,0,0,0,0,0,0.1,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Sutherland,2009,IA,36.2,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1.1,0,0,0,0,0,0.1,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Sutherland,2010,IA,41.5,0,0,0,47.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,1.5,0,0,0,0,0,0.1,0,2.7,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
22,Sutherland,2011,IA,41.2,0,0,0,41.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,0.3,0,0,0,0,0,0.1,0,8,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0
23,Sutherland,2012,IA,52.6,0,0,0,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,0.6,0,0,0,0,0,0,0,5.7,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0
24,Sutherland,2013,IA,38.9,0,0,0,44.5,0,0,0,0,0,0,0.4,0,0,0,0.2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0.9,0.1,0,0,0,0,0,0,5.9,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
25,Brownstown,2008,IL,4,0,0,0,21.9,0,0,0,0,0,0,0.6,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,7,0.7,0,0,0,49.8,0.1,0,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
